,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,COMPANY
166,2019-01-23,82.8,82.87,80.6,82.0,82.0,104504000,AMAZON
167,2019-01-23,38.54,38.78,37.92,38.48,36.93,92522400,APPLE
168,2019-01-24,38.53,38.62,37.94,38.17,36.64,101766000,APPLE
169,2019-01-24,18.87,19.58,18.62,19.43,19.43,120183000,TESLA
170,2019-01-24,144.64,146.44,142.52,145.83,145.83,20955500,META
171,2019-01-24,82.05,82.86,81.59,82.75,82.75,81798000,AMAZON
172,2019-01-25,147.48,149.83,146.54,149.01,149.01,22237200,META
173,2019-01-25,38.87,39.53,38.58,39.44,37.85,134142000,APPLE
174,2019-01-25,19.63,19.9,19.3,19.8,19.8,108744000,TESLA
175,2019-01-25,83.53,84.17,83.08,83.53,83.53,98918000,AMAZON
176,2019-01-28,82.18,82.25,80.7,81.89,81.89,96754000,AMAZON
177,2019-01-28,148.05,148.96,146.21,147.47,147.47,15508500,META
178,2019-01-28,38.95,39.08,38.42,39.08,37.5,104768400,APPLE
179,2019-01-28,19.53,19.83,19.18,19.76,19.76,96349500,TESLA
180,2019-01-29,39.06,39.53,38.53,38.67,37.12,166348800,APPLE
181,2019-01-29,81.56,81.62,79.54,79.69,79.69,92656000,AMAZON
182,2019-01-29,19.68,19.9,19.45,19.83,19.83,69325500,TESLA
183,2019-01-29,148.09,148.1,143.43,144.19,144.19,17632100,META
184,2019-01-30,81.15,83.85,80.98,83.52,83.52,115676000,AMAZON
185,2019-01-30,40.81,41.54,40.06,41.31,39.65,244439200,APPLE
186,2019-01-30,20.03,20.6,19.9,20.58,20.58,168754500,TESLA
187,2019-01-30,146.22,150.95,145.7,150.42,150.42,44613200,META
188,2019-01-31,20.07,20.77,19.6,20.47,20.47,188538000,TESLA
189,2019-01-31,84.64,86.82,83.95,85.94,85.94,218206000,AMAZON
190,2019-01-31,165.6,171.68,165.0,166.69,166.69,77233600,META
191,2019-01-31,41.53,42.25,41.14,41.61,39.94,162958400,APPLE
192,2019-02-01,20.36,21.07,20.23,20.81,20.81,109251000,TESLA
193,2019-02-01,41.74,42.24,41.48,41.63,39.96,130672400,APPLE
194,2019-02-01,165.84,169.1,165.66,165.71,165.71,30806500,META
195,2019-02-01,81.94,83.65,81.1,81.31,81.31,230124000,AMAZON
196,2019-02-04,165.7,169.3,163.62,169.25,169.25,20036000,META
197,2019-02-04,20.87,21.02,20.13,20.86,20.86,110281500,TESLA
198,2019-02-04,41.85,42.92,41.82,42.81,41.09,125982000,APPLE
199,2019-02-04,81.15,82.48,80.68,81.67,81.67,98582000,AMAZON
200,2019-02-05,43.22,43.77,43.09,43.54,41.79,144406400,APPLE
201,2019-02-05,169.15,171.98,168.69,171.16,171.16,22557000,META
202,2019-02-05,20.83,21.5,20.82,21.42,21.42,101142000,TESLA
203,2019-02-05,82.17,83.26,82.12,82.94,82.94,89062000,AMAZON
204,2019-02-06,171.2,172.47,169.27,170.49,170.49,13281200,META
205,2019-02-06,21.31,21.62,21.04,21.15,21.15,75577500,TESLA
206,2019-02-06,43.66,43.89,43.21,43.56,41.81,112958400,APPLE
207,2019-02-06,83.54,83.61,81.67,82.01,82.01,78798000,AMAZON
208,2019-02-07,81.25,81.28,79.65,80.72,80.72,92532000,AMAZON
209,2019-02-07,20.89,20.98,20.2,20.5,20.5,97809000,TESLA
210,2019-02-07,168.2,169.24,165.25,166.38,166.38,17517600,META
211,2019-02-07,43.1,43.49,42.58,42.74,41.02,126966800,APPLE
212,2019-02-08,20.46,20.5,19.9,20.39,20.39,87663000,TESLA
213,2019-02-08,79.3,79.43,78.34,79.41,79.41,113150000,AMAZON
214,2019-02-08,164.47,167.37,164.21,167.33,167.33,12561400,META
215,2019-02-08,42.25,42.67,42.1,42.6,41.07,95280000,APPLE
216,2019-02-11,20.77,21.24,20.7,20.86,20.86,106945500,TESLA
217,2019-02-11,80.05,80.46,79.3,79.55,79.55,66346000,AMAZON
218,2019-02-11,42.76,42.8,42.31,42.36,40.83,83973600,APPLE
219,2019-02-11,167.9,168.3,165.08,165.79,165.79,12811200,META
220,2019-02-12,80.2,81.97,79.94,81.9,81.9,97172000,AMAZON
221,2019-02-12,42.53,42.75,42.42,42.72,41.18,89134000,APPLE
222,2019-02-12,21.08,21.21,20.64,20.79,20.79,82764000,TESLA
223,2019-02-12,166.86,168.34,164.5,165.04,165.04,16292300,META
224,2019-02-13,82.35,82.82,81.86,82.0,82.0,71206000,AMAZON
225,2019-02-13,20.82,20.85,20.37,20.54,20.54,77124000,TESLA
226,2019-02-13,165.38,166.22,163.73,164.07,164.07,14205100,META
227,2019-02-13,42.85,43.12,42.48,42.54,41.01,89960800,APPLE
228,2019-02-14,20.23,20.45,20.07,20.25,20.25,78012000,TESLA
229,2019-02-14,81.22,81.89,80.3,81.13,81.13,82410000,AMAZON
230,2019-02-14,42.43,42.81,42.35,42.7,41.16,87342800,APPLE
231,2019-02-14,163.19,164.87,162.25,163.95,163.95,12755200,META
232,2019-02-15,42.81,42.92,42.44,42.6,41.07,98507200,APPLE
233,2019-02-15,164.51,164.7,160.86,162.5,162.5,15504400,META
234,2019-02-15,81.39,81.45,80.22,80.4,80.4,86878000,AMAZON
235,2019-02-15,20.3,20.53,20.26,20.53,20.53,58573500,TESLA
236,2019-02-19,80.05,81.7,80.03,81.38,81.38,73634000,AMAZON
237,2019-02-19,160.5,164.15,160.33,162.29,162.29,14345400,META
238,2019-02-19,42.43,42.86,42.37,42.73,41.19,75891200,APPLE
239,2019-02-19,20.44,20.77,20.36,20.38,20.38,62526000,TESLA
240,2019-02-20,20.29,20.42,19.93,20.17,20.17,107131500,TESLA
241,2019-02-20,162.25,163.72,161.25,162.56,162.56,11770700,META
242,2019-02-20,81.5,81.75,80.51,81.11,81.11,66752000,AMAZON
243,2019-02-20,42.8,43.33,42.75,43.01,41.46,104457600,APPLE
244,2019-02-21,161.93,162.24,159.59,160.04,160.04,15607800,META
245,2019-02-21,42.95,43.09,42.58,42.76,41.22,68998800,APPLE
246,2019-02-21,80.99,81.18,80.05,80.97,80.97,69668000,AMAZON
247,2019-02-21,20.12,20.22,19.37,19.42,19.42,133638000,TESLA
248,2019-02-22,81.18,81.75,81.06,81.58,81.58,61924000,AMAZON
